RK,NAME,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
39,Mike WhiteNYJ,QB,4,88,132,66.7,953,7.2,238.3,28,5,8,4,18,50.5,75.1
40,Mike GlennonNYG,QB,6,90,167,53.9,790,4.7,131.7,60,4,10,9,68,11.9,49.7
41,Drew LockDEN,QB,6,67,111,60.4,787,7.1,131.2,44,2,2,9,52,23.4,80.4
42,Colt McCoyARI,QB,8,74,99,74.7,740,7.5,92.5,50,3,1,6,40,54.5,101.4
43,Geno SmithSEA,QB,4,65,95,68.4,702,7.4,175.5,84,5,1,13,117,45.8,103
44,Cam NewtonCAR,QB,8,69,126,54.8,684,5.4,85.5,64,4,5,10,83,25.5,64.4
54,Josh JohnsonBAL/NYJ,QB,4,57,85,67.1,638,7.5,159.5,28,5,2,3,23,51.7,99
45,Trey LanceSF,QB,6,41,71,57.7,603,8.5,100.5,76,5,2,4,15,33.4,97.3
46,Tim BoyleDET,QB,5,61,94,64.9,526,5.6,105.2,42,3,6,0,0,26.4,63.5
47,Case KeenumCLE,QB,7,47,72,65.3,462,6.4,66,34,3,1,5,29,36.9,91.3
48,Gardner MinshewPHI,QB,4,41,60,68.3,439,7.3,109.8,36,4,1,5,31,60.6,104.8
49,Cooper RushDAL,QB,5,30,47,63.8,422,9,84.4,73,3,1,3,19,41.8,105.1
